                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89275,                 2.2153,                 1.5571,                0.00885,                      1,                  0.405,                0.22762,                0.88533,                 3.0004,                 1.4849,               0.067611,             0.00032716,             0.00032716
                      2,                0.72379,                 1.7033,                 1.4185,                0.47465,                0.83086,                0.53925,                0.50769,                0.47488,                 1.8028,                0.86798,                0.03448,             0.00052972,             0.00052972
                      3,                0.66933,                 1.5166,                 1.3658,                0.30795,                   0.56,                0.33103,                0.16684,                 1.2322,                 3.0676,                  1.509,              0.0012176,             0.00060027,             0.00060027
                      4,                0.62739,                 1.4292,                 1.3247,                0.69099,                0.66637,                0.66967,                0.36873,                 1.1011,                 2.0379,                 1.4287,               0.000406,               0.000406,               0.000406
                      5,                0.57701,                 1.3146,                 1.2937,                0.73583,                0.75116,                0.82325,                0.51798,                0.77478,                 1.7148,                 1.0447,               0.000208,               0.000208,               0.000208
                      1,                0.36583,                0.87623,                 1.3304,                0.80445,                0.84318,                 0.9014,                0.71882,                0.78268,                 1.3601,                 1.1243,               0.067611,             0.00032716,             0.00032716
                      2,                0.29424,                0.67865,                 1.2246,                0.85805,                0.81333,                0.91917,                0.80167,                0.74894,                 1.0227,                 1.1813,               0.034546,              0.0005951,              0.0005951
                      3,                0.25091,                0.56076,                 1.1665,                0.89361,                0.93597,                0.95981,                0.93766,                0.47065,                0.64805,                0.67153,              0.0014143,             0.00079705,             0.00079705
                      4,                0.22793,                0.50603,                 1.1464,                0.89011,                0.85138,                0.92958,                0.82082,                0.64332,                0.82868,                 0.9047,               0.000703,               0.000703,               0.000703
                      5,                0.21142,                0.49205,                 1.1183,                0.90507,                0.88141,                0.95859,                0.93468,                0.56038,                0.72375,                0.82071,               0.000604,               0.000604,               0.000604
                      6,                0.22674,                0.51788,                 1.1514,                0.90961,                0.91002,                 0.9624,                0.95296,                0.48596,                0.63621,                0.72154,               0.000505,               0.000505,               0.000505
                      7,                0.19212,                0.46629,                 1.0879,                0.91641,                0.91333,                 0.9563,                0.92522,                0.56362,                0.67701,                0.82213,               0.000406,               0.000406,               0.000406
                      8,                 0.1732,                0.46983,                 1.0897,                0.89911,                0.89829,                 0.9616,                0.90109,                0.57103,                0.68848,                0.82003,               0.000307,               0.000307,               0.000307
                      9,                 0.1581,                0.40187,                 1.0757,                0.87627,                0.92882,                0.96992,                 0.9129,                 0.6056,                0.73825,                0.86288,               0.000208,               0.000208,               0.000208
                     10,                0.16303,                0.41736,                 1.0762,                0.89714,                0.93608,                0.97072,                0.90946,                0.59718,                0.68185,                0.84139,               0.000109,               0.000109,               0.000109
